title,SQL,HTML,CSS,FastAPI,RESTful,Scratch,Django,Git,MongoDB,Docker,JavaScript,jQuery,ORM,Redis
"Intern Python Developer, вакансія від 10 липня 2024",False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Intern Python developer, вакансія від 10 липня 2024",False,False,False,False,False,False,False,True,False,False,False,False,True,False
"Python-програміст, вакансія від 9 липня 2024",False,False,False,False,False,False,True,True,False,False,False,False,False,False
"Full stack Python DRF, VueJS developer, вакансія від 9 липня 2024",False,False,False,False,False,False,True,False,False,False,False,False,False,False
"Intern Python Developer, вакансія від 10 липня 2024",False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Python developer, вакансія від 9 липня 2024",True,False,False,False,False,False,False,True,False,True,False,False,False,False
"Intern Python developer, вакансія від 10 липня 2024",False,False,False,False,False,False,False,True,False,False,False,False,True,False
"Python Developer (Scraping), Data engineer, вакансія від 8 липня 2024",False,True,False,False,False,False,False,True,False,False,False,False,False,False
"Викладач у дитячу ІТ-школу програмування (Роблокс, Python), вакансія від 10 липня 2024",False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Senior Software engineer (Node, Python, LLM), вакансія від 8 липня 2024",True,False,False,False,True,False,False,False,False,True,False,False,True,False
"Python-програміст, вакансія від 9 липня 2024",False,False,False,False,False,False,True,True,False,False,False,False,False,False
"Python Developer, вакансія від 8 липня 2024",True,False,False,False,False,False,False,True,True,True,False,False,False,False
"Full stack Python DRF, VueJS developer, вакансія від 9 липня 2024",False,False,False,False,False,False,True,False,False,False,False,False,False,False
"Full-stack програміст на Python (Strong Junior), вакансія від 8 липня 2024",True,False,False,False,False,False,True,False,False,False,True,True,False,False
"Python, Javascript Mentor, вакансія від 9 липня 2024",False,True,True,True,False,False,True,True,False,True,True,False,False,False
"Python developer (Middle/Senior), вакансія від 8 липня 2024",True,False,False,False,False,False,True,True,False,False,False,False,True,False
"Python developer, вакансія від 9 липня 2024",True,False,False,False,False,False,False,True,False,True,False,False,False,False
"Middle Python Developer, вакансія від 5 липня 2024",False,False,False,False,True,True,False,False,False,True,False,False,False,True
"Python Developer (Scraping), Data engineer, вакансія від 8 липня 2024",False,True,False,False,False,False,False,True,False,False,False,False,False,False
"Junior Python Developer, вакансія від 4 липня 2024",False,False,False,False,True,False,False,True,False,False,False,False,True,False
"Викладач Scratch, Python у всеукраїнську IT-школу, вакансія від 8 липня 2024",False,True,True,False,False,True,False,False,False,False,True,False,False,False
"Full Stack Web Developer (Python, Angular 2+), вакансія від 3 липня 2024",True,True,True,False,True,False,True,True,False,False,True,True,True,False
"Senior Software engineer (Node, Python, LLM), вакансія від 8 липня 2024",True,False,False,False,True,False,False,False,False,True,False,False,True,False
"Junior Python Developer (Trainee), вакансія від 3 липня 2024",True,True,True,False,True,False,True,True,False,True,True,False,False,False
"Python Developer, вакансія від 8 липня 2024",True,False,False,False,False,False,False,True,True,True,False,False,False,False
"Викладач в всеукраїнську школу програмування (Scratch, Roblox, Front-end, Python), вакансія від 8 липня 2024",False,True,True,False,False,True,False,False,False,False,True,False,False,False
"Full-stack програміст на Python (Strong Junior), вакансія від 8 липня 2024",True,False,False,False,False,False,True,False,False,False,True,True,False,False
"Викладач інформатики, робототехніки (Minecraft, Python), вакансія від 8 липня 2024",False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Python developer (Middle/Senior), вакансія від 8 липня 2024",True,False,False,False,False,False,True,True,False,False,False,False,True,False
"Middle Python Developer, вакансія від 5 липня 2024",False,False,False,False,True,True,False,False,False,True,False,False,False,True
"Junior Python Developer, вакансія від 4 липня 2024",False,False,False,False,True,False,False,True,False,False,False,False,True,False
"Full Stack Web Developer (Python, Angular 2+), вакансія від 3 липня 2024",True,True,True,False,True,False,True,True,False,False,True,True,True,False
"Fullstack Python, React Developer, вакансія від 1 липня 2024",True,False,True,True,False,False,False,False,True,True,True,False,True,False
"Junior Python Developer (Trainee), вакансія від 3 липня 2024",True,True,True,False,True,False,True,True,False,True,True,False,False,False
"Python developer, вакансія від 29 червня 2024",False,True,True,False,False,False,True,False,False,False,True,False,False,False
"Викладач в всеукраїнську школу програмування (Scratch, Roblox, Front-end, Python), вакансія від 3 липня 2024",False,True,True,False,False,True,False,False,False,False,True,False,False,False
"Python Developer, вакансія від 27 червня 2024",True,False,False,False,True,False,False,True,False,True,True,False,False,False
"Викладач програмування у дитячу школу (Python), вакансія від 1 липня 2024",False,True,True,False,False,True,False,False,False,False,True,False,False,False
"Senior Python Developer, вакансія від 27 червня 2024",True,False,False,True,False,False,False,False,False,True,False,False,True,True
"Fullstack Python, React Developer, вакансія від 1 липня 2024",True,False,True,True,False,False,False,False,True,True,True,False,True,False
"Python/Django Developer (Junior, Middle), вакансія від 26 червня 2024",True,False,False,False,False,False,True,True,False,True,True,False,True,True
"Python developer, вакансія від 29 червня 2024",False,True,True,False,False,False,True,False,False,False,True,False,False,False
"Backend-developer (Python, PHP), вакансія від 24 червня 2024",True,False,False,False,False,False,False,False,False,True,True,False,False,False
"Python Developer, вакансія від 27 червня 2024",True,False,False,False,True,False,False,True,False,True,True,False,False,False
"Python-програміст, вакансія від 21 червня 2024",True,False,False,True,True,False,True,True,True,True,False,False,False,False
"Senior Python Developer, вакансія від 27 червня 2024",True,False,False,True,False,False,False,False,False,True,False,False,True,True
"Python Developer, вакансія від 20 червня 2024",True,False,False,True,False,False,False,True,True,True,False,False,True,False
"Викладач у дитячу школу програмування (Python, HTML/CSS), вакансія від 26 червня 2024",False,True,True,False,False,False,False,False,False,False,False,False,False,False
"Full Stack Python developer, вакансія від 18 червня 2024",True,True,True,False,True,False,True,False,False,True,False,False,False,True
"Python/Django Developer (Junior, Middle), вакансія від 26 червня 2024",True,False,False,False,False,False,True,True,False,True,True,False,True,True
"Python-програміст, вакансія від 17 червня 2024",True,False,False,False,False,False,True,False,False,False,False,False,True,False
"Backend-developer (Python, PHP), вакансія від 24 червня 2024",True,False,False,False,False,False,False,False,False,True,True,False,False,False
"AQA Engineer (Python, Playwright), вакансія від 17 червня 2024",False,False,False,False,False,False,True,True,False,False,False,False,True,False
"Computer Vision Python Engineer, вакансія від 14 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Python developer (Trainee, Junior), вакансія від 14 червня 2024",True,False,False,False,False,False,True,True,False,False,False,False,False,False
"Python-програміст, вакансія від 13 червня 2024",True,True,True,True,False,False,False,True,False,True,False,False,False,False
"Middle python developer, вакансія від 10 червня 2024",True,False,False,True,True,False,False,False,False,False,False,False,False,False
"Python-програміст (LLMs-Langchain), вакансія від 10 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Python-програміст, вакансія від 21 червня 2024",True,False,False,True,True,False,True,True,True,True,False,False,False,False
"Python Developer, вакансія від 20 червня 2024",True,False,False,True,False,False,False,True,True,True,False,False,True,False
"Викладач з програмування в онлайн-школу (Roblox, Python, Scratch), вакансія від 18 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Full Stack Python developer, вакансія від 18 червня 2024",True,True,True,False,True,False,True,False,False,True,False,False,False,True
"Викладач програмування у дитячу школу (Python, Scratch), вакансія від 17 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Викладач IT (Python/C++), вакансія від 17 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Викладач у дитячу IT-школу програмування (Python), вакансія від 17 червня 2024",False,True,True,False,False,False,False,False,False,False,True,False,False,False
"Викладач у школу програмування (Python, Roblox Studio, Scratch, комп'ютерна грамотність), вакансія від 17 червня 2024",False,True,True,False,False,True,False,False,False,False,True,False,False,False
"Python-програміст, вакансія від 17 червня 2024",True,False,False,False,False,False,True,False,False,False,False,False,True,False
"AQA Engineer (Python, Playwright), вакансія від 17 червня 2024",False,False,False,False,False,False,True,True,False,False,False,False,True,False
"Викладач у дитячу IT-школу програмування (геймдизайн, Scratch, Python, комп'ютерна грамотність), вакансія від 15 червня 2024",False,True,True,False,False,True,False,False,False,False,True,False,False,False
"Computer Vision Python Engineer, вакансія від 14 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Python developer (Trainee, Junior), вакансія від 14 червня 2024",True,False,False,False,False,False,True,True,False,False,False,False,False,False
"Python-програміст, вакансія від 13 червня 2024",True,True,True,True,False,False,False,True,False,True,False,False,False,False
"Викладач програмування з Python, Minecraft в онлайн-школу, вакансія від 11 червня 2024",False,False,False,False,False,True,False,False,False,False,False,False,False,False
"IT-спеціаліст з програмування (C++, Python, OpenCV), вакансія від 11 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Office manager assistant (Polish), вакансія від 10 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Middle python developer, вакансія від 10 червня 2024",True,False,False,True,True,False,False,False,False,False,False,False,False,False
"Python-програміст (LLMs-Langchain), вакансія від 10 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Викладач програмування у дитячу школу (Scratch, комп'ютерна грамотність, Python), вакансія від 10 червня 2024",False,False,False,False,False,True,False,False,False,False,False,False,False,False
"Викладач програмування у дитячу школу (Scratch, комп'ютерна грамотність, Python), вакансія від 10 червня 2024",False,False,False,False,False,True,False,False,False,False,False,False,False,False
